id,"genre","name",calorie,"created_at","updated_at"
60,"肉のおかず","とりの甘酢炒め",365,"2017-10-24 09:36:28","2017-10-24 09:36:28"
61,"肉のおかず","ガーリックチキン",331,"2017-10-24 09:36:35","2017-10-24 09:36:35"
62,"肉のおかず","ビーフステーキ",452,"0000-00-00 00:00:00","0000-00-00 00:00:00"
63,"肉のおかず","ガーリックステーキ",612,"0000-00-00 00:00:00","0000-00-00 00:00:00"
64,"肉のおかず","牛肉のハーブステーキ",570,"0000-00-00 00:00:00","0000-00-00 00:00:00"
65,"肉のおかず","サイコロステーキ",412,"2017-10-24 09:36:28","2017-10-24 09:36:28"
66,"肉のおかず","粗挽きソーセージ",117,"0000-00-00 00:00:00","0000-00-00 00:00:00"
67,"肉のおかず","牛焼き肉",178,"2017-10-24 09:36:28","2017-10-24 09:36:28"
68,"肉のおかず","牛すき焼き",642,"2017-10-24 09:36:36","2017-10-24 09:36:36"
69,"肉のおかず","ハンバーグ",483,"2017-10-24 09:36:28","2017-10-24 09:36:28"
70,"肉のおかず","煮込みハンバーグ",563,"2017-10-24 09:36:28","2017-10-24 09:36:28"
71,"肉のおかず","豆腐ハンバーグ",336,"2017-10-24 09:36:30","2017-10-24 09:36:30"
72,"肉のおかず","和風おろしハンバーグ",275,"0000-00-00 00:00:00","0000-00-00 00:00:00"
73,"肉のおかず","きのこハンバーグ",408,"0000-00-00 00:00:00","0000-00-00 00:00:00"
74,"肉のおかず","チーズハンバーグ",462,"0000-00-00 00:00:00","0000-00-00 00:00:00"
75,"肉のおかず","回鍋肉 (ホイコーロー）",346,"0000-00-00 00:00:00","0000-00-00 00:00:00"
76,"肉のおかず","油淋鶏 (ユーリンチー)",340,"0000-00-00 00:00:00","0000-00-00 00:00:00"
77,"肉のおかず","ローストビーフ",404,"0000-00-00 00:00:00","0000-00-00 00:00:00"
78,"肉のおかず","チキンの照り焼きソース　　",294,"0000-00-00 00:00:00","0000-00-00 00:00:00"
79,"肉のおかず","チキン塩ダレ",295,"0000-00-00 00:00:00","0000-00-00 00:00:00"
80,"肉のおかず","クリームチーズ入りメンチ",487,"0000-00-00 00:00:00","0000-00-00 00:00:00"
81,"肉のおかず","おろしロースカツ",354,"0000-00-00 00:00:00","0000-00-00 00:00:00"
